2025-11-29 19:56:17 INFO  [BaseTest] - Launching browser...
2025-11-29 19:56:18 INFO  [EndtoEndCheckOutTests] - Starting Test: Login Functionality
2025-11-29 19:56:18 INFO  [LoginPage] - Entering invalid credentials...
2025-11-29 19:56:18 INFO  [LoginPage] - Entering username...
2025-11-29 19:56:18 INFO  [LoginPage] - Entering password...
2025-11-29 19:56:21 INFO  [EndtoEndCheckOutTests] - Asserting login success...
2025-11-29 19:56:21 INFO  [EndtoEndCheckOutTests] - Smoke Test Passed: User logged in successfully.
2025-11-29 19:56:22 INFO  [EndtoEndCheckOutTests] - Products from Excel: [sauce-labs-backpack, sauce-labs-bike-light, sauce-labs-bolt-t-shirt]
2025-11-29 19:56:22 INFO  [ProductsPage] - Putting Backpack to cart ...
2025-11-29 19:56:27 INFO  [ProductsPage] - Putting Backpack to cart ...
2025-11-29 19:56:32 INFO  [ProductsPage] - Putting Backpack to cart ...
2025-11-29 19:56:37 INFO  [CartPage] - Navigating to cart...
2025-11-29 19:56:40 INFO  [CartPage] - Checking Out...
2025-11-29 19:56:40 INFO  [CheckOutPage] - Fill Details on Checkout page...
2025-11-29 19:56:46 INFO  [EndtoEndCheckOutTests] - Asserting cart price and checkout price...
2025-11-29 19:56:46 INFO  [CheckOutPage] - Finishing checkout...
2025-11-29 19:56:49 INFO  [CheckOutPage] - Verifying checkout...
